pasta	nome	bytes	modificado	url
	273-peticao_115384_2026.pdf	429013346	2026-09-14T00:39:37Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16669/273-peticao_115384_2026.pdf
	274-decisao_monocratica_decisao_interlocutoria.pdf	1531344	2026-09-14T00:39:37Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16669/274-decisao_monocratica_decisao_interlocutoria.pdf
	272-peticao_115383_2026.pdf	61093489	2026-09-14T00:39:37Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16669/272-peticao_115383_2026.pdf
